"Title","PMID","Year","Month","Title_trunc","DOI","Abstract","Full_Author_Name","Author_Address","Language","Publication_Type","Journal_name_short","Conflict_of_Interest_Statement","Label","...15"
"Risk Factors for Gambling Problems on Online Electronic Gaming Machines, Race Betting and Sports Betting.","28555121",2017,NA,"Risk Factors for Gambling Problems on Online Electronic Gaming Machines, Race ","10.3389/fpsyg.2017.00779 [doi]; 779","Growth of Internet gambling has fuelled concerns about its contribution to ","Hing, Nerilee; Russell, Alex M; Browne, Matthew","Experimental Gambling Research Laboratory, School of Health, Medical and Applied ; Experimental Gambling Research Laboratory, School of Health, Medical and Applied ; Experimental Gambling Research Laboratory, School of Health, Medical and Applied ","eng","Journal Article","Front Psychol",NA,"Frontiers in psychology","gambling"
"Does size matter? An examination of problem gamblers' skin conductance responses to large and small magnitude rewards.","28555873",2017,"Oct","Does size matter? An examination of problem gamblers' skin conductance responses ","10.1111/psyp.12897 [doi]","Previous research has shown that individuals with substance use disorder equally ","Lole, Lisa; Gonsalvez, Craig J","School of Health, Medical, and Applied Sciences, Central Queensland University, ; School of Psychology, Western Sydney University, Penrith, New South Wales, ","eng","Journal Article","Psychophysiology",NA,"Psychophysiology","gambling"
"Gambling disorder: Association between duration of illness, clinical, and neurocognitive variables.","28560882",2017,"Jun","Gambling disorder: Association between duration of illness, clinical, and ","10.1556/2006.6.2017.029 [doi]","Background and aims Gambling disorder (GD) may have its onset in a wide range of ","Medeiros, Gustavo C; Redden, Sarah A; Chamberlain, Samuel R; Grant, Jon E","1 Department of Psychiatry and Behavioral Neuroscience, The University of Chicago ; 1 Department of Psychiatry and Behavioral Neuroscience, The University of Chicago ; 2 Department of Psychiatry, University of Cambridge , Cambridge, UK.; 1 Department of Psychiatry and Behavioral Neuroscience, The University of Chicago ","eng","Journal Article","J Behav Addict",NA,"Journal of behavioral addictions","gambling"
"Current suicidal ideation in treatment-seeking individuals in the United Kingdom with gambling problems.","28570912",2017,"Nov","Current suicidal ideation in treatment-seeking individuals in the United Kingdom ","S0306-4603(17)30210-1 [pii]; 10.1016/j.addbeh.2017.05.032 [doi]","BACKGROUND: Studies show higher lifetime prevalence of suicidality in individuals ","Ronzitti, Silvia; Soldini, Emiliano; Smith, Neil; Potenza, Marc N; Clerici, Massimo; Bowden-Jones, Henrietta","Yale School of Medicine, 300 George Street, New Haven, CT 06511, USA; Department ; Methodology and Statistics Laboratory (LABStat), Department of Business ; NPGC, National Problem Gambling Clinic, Central North West London NHS Foundation ; Department of Psychiatry, Yale School of Medicine, 300 George Street, Suite 901, ; Department of Medicine and Surgery, University of Milano-Bicocca, Monza, Italy; ; NPGC, National Problem Gambling Clinic, Central North West London NHS Foundation ","eng","Journal Article","Addict Behav",NA,"Addictive behaviors","gambling"
"Development and validation of the Pachinko/Pachi-Slot Playing Ambivalence Scale.","28573085",2017,NA,"Development and validation of the Pachinko/Pachi-Slot Playing Ambivalence Scale.","10.1186/s40405-017-0023-6 [doi]; 3","BACKGROUND: A scale aimed at measuring ambivalence among people with ","Komoto, Yasunobu; Shoun, Akiyo; Akiyama, Kumiko; Sakamoto, Akira; Sato, Taku; Nishimura, Naoyuki; Shinohara, Kikunori; Ishida, Hitoshi; Makino, Nobuo","Yoshino Hospital, 2252, Zushi-tyo, Machida City, Tokyo 1940203 Japan.; Graduate School of Humanities and Sciences, Ochanomizu University, Bunkyo, Japan. ; The Nikkoso Research Foundation for Safe Society, Tokyo, Japan.; Department of Psychology, Ochanomizu University, Bunkyo, Japan. ISNI: 0000 0001 ; Naruse Mental Clinic, Machida City, Japan.; NPO Recovery Support Network, Tokyo, Japan.; Tokyo University of Science Suwa, Chino, Japan.; The Nikkoso Research Foundation for Safe Society, Tokyo, Japan.; Japan Women's University, Kawasaki, Japan. ISNI: 0000 0001 2230 656X. GRID: ","eng","Journal Article","Asian J Gambl Issues Public Health",NA,"Asian journal of gambling issues and public health","gambling"
"Episodic and Binge Gambling: An Exploration and Preliminary Quantitative Study.","28578520",2018,"Mar","Episodic and Binge Gambling: An Exploration and Preliminary Quantitative Study.","10.1007/s10899-017-9697-z [doi]","The DSM-5 includes provisions for episodic forms of gambling disorder, with such ","Cowlishaw, S; Nespoli, E; Jebadurai, J K; Smith, N; Bowden-Jones, H","School of Social and Community Medicine, University of Bristol, Bristol, BS8 2PS, ; Department of Medicine and Surgery, University of Milano-Bicocca, Milan, Italy.; University Hospital of Wales, Cardiff and Vale University Health Board, Cardiff, ; National Problem Gambling Clinic, Central North West London NHS Foundation Trust, ; National Problem Gambling Clinic, Central North West London NHS Foundation Trust, ; National Problem Gambling Clinic, Central North West London NHS Foundation Trust, ; Department of Medicine, Imperial College London, London, UK.","eng","Journal Article","J Gambl Stud","CONFLICTS OF INTEREST: The National Problem Gambling Clinic in London is partly ","Journal of gambling studies","gambling"
"Are There Differences in Disruptions of Reward Processing Between Substance Use Disorder and Gambling Disorder?-Reply.","28593251",2017,"Jul","Are There Differences in Disruptions of Reward Processing Between Substance Use ","10.1001/jamapsychiatry.2017.1054 [doi]",NA,"Schellekens, Arnt F; Luijten, Maartje; Sescousse, Guillaume","Radboud University Medical Centre, Department of Psychiatry, Nijmegen Institute ; Behavioural Science Institute, Radboud University, Nijmegen, the Netherlands.; Donders Institute for Brain, Cognition and Behaviour, Radboud University, ","eng","Comment; Journal Article","JAMA Psychiatry",NA,"JAMA psychiatry","gambling"
"Are There Differences in Disruptions of Reward Processing Between Substance Use Disorder and Gambling Disorder?","28593270",2017,"Jul","Are There Differences in Disruptions of Reward Processing Between Substance Use ","10.1001/jamapsychiatry.2017.1051 [doi]",NA,"van Holst, Ruth J; van Timmeren, Tim; Goudriaan, Anneke E","Academic Medical Center, Department of Psychiatry, University of Amsterdam, ; Academic Medical Center, Department of Psychiatry, University of Amsterdam, ; Academic Medical Center, Department of Psychiatry, University of Amsterdam, ","eng","Comment; Journal Article","JAMA Psychiatry",NA,"JAMA psychiatry","gambling"
"Frontotemporal Dementia Presenting as Gambling Disorder: When a Psychiatric Condition Is the Clue to a Neurodegenerative Disease.","28632523",2017,"Jun","Frontotemporal Dementia Presenting as Gambling Disorder: When a Psychiatric ","10.1097/WNN.0000000000000122 [doi]","Behavioral variant frontotemporal dementia, the most common form of ","Tondo, Giacomo; De Marchi, Fabiola; Terazzi, Emanuela; Sacchetti, Marta; Cantello, Roberto","Neurology Unit, Department of Translational Medicine, University of Piemonte ","eng","Case Reports; Journal Article","Cogn Behav Neurol",NA,"Cognitive and behavioral neurology : official journal of the Society for ","gambling"
"Gender Invariance of the Gambling Behavior Scale for Adolescents (GBS-A): An Analysis of Differential Item Functioning Using Item Response Theory.","28634462",2017,NA,"Gender Invariance of the Gambling Behavior Scale for Adolescents (GBS-A): An ","10.3389/fpsyg.2017.00940 [doi]; 940","As there is a lack of evidence attesting the equivalent item functioning across ","Donati, Maria Anna; Chiesi, Francesca; Izzo, Viola A; Primi, Caterina","Dipartimento di Neuroscienze, Psicologia, Area del Farmaco e Salute del Bambino ; Dipartimento di Neuroscienze, Psicologia, Area del Farmaco e Salute del Bambino ; Dipartimento di Neuroscienze, Psicologia, Area del Farmaco e Salute del Bambino ; Dipartimento di Neuroscienze, Psicologia, Area del Farmaco e Salute del Bambino ","eng","Journal Article","Front Psychol",NA,"Frontiers in psychology","gambling"
"A systematic review of treatments for problem gambling.","28639817",2017,"Dec","A systematic review of treatments for problem gambling.","10.1037/adb0000290 [doi]","Gambling problems impact 0.2%-4.0% of the population, and research related to ","Petry, Nancy M; Ginley, Meredith K; Rash, Carla J","Calhoun Cardiology Center, University of Connecticut School of Medicine.; Calhoun Cardiology Center, University of Connecticut School of Medicine.; Calhoun Cardiology Center, University of Connecticut School of Medicine.","eng","Journal Article; Review; Systematic Review","Psychol Addict Behav",NA,"Psychology of addictive behaviors : journal of the Society of Psychologists in ","gambling"
"A prospective follow-up study of younger and older subjects with pathological gambling.","28645075",2017,"Oct","A prospective follow-up study of younger and older subjects with pathological ","S0165-1781(17)30134-8 [pii]; 10.1016/j.psychres.2017.06.043 [doi]","Pathological gambling (PG) is a common and costly public health problem ","Black, Donald W; Coryell, William; McCormick, Brett; Shaw, Martha; Allen, Jeff","Department of Psychiatry, University of Iowa Carver College of Medicine, Iowa ; Department of Psychiatry, University of Iowa Carver College of Medicine, Iowa ; Department of Psychiatry, University of Iowa Carver College of Medicine, Iowa ; Department of Psychiatry, University of Iowa Carver College of Medicine, Iowa ; Department of Psychiatry, University of Iowa Carver College of Medicine, Iowa ","eng","Journal Article","Psychiatry Res",NA,"Psychiatry research","gambling"
"Efficacy of face-to-face versus self-guided treatments for disordered gambling: A meta-analysis.","28662618",2017,"Jun","Efficacy of face-to-face versus self-guided treatments for disordered gambling: ","10.1556/2006.6.2017.034 [doi]","Background and aims In the light of growing traditional and novel forms of ","Goslar, Martina; Leibetseder, Max; Muench, Hannah M; Hofmann, Stefan G; Laireiter, Anton-Rupert","1 Department of Psychology, University of Salzburg , Salzburg, Austria.; 1 Department of Psychology, University of Salzburg , Salzburg, Austria.; 2 Department of Clinical Psychology and Psychotherapy, Eberhard Karls University ; 3 Department of Psychological and Brain Sciences, Boston University , Boston, MA, ; 1 Department of Psychology, University of Salzburg , Salzburg, Austria.; 4 Faculty of Psychology, University of Vienna , Wien, Austria.","eng","Comparative Study; Journal Article; Meta-Analysis","J Behav Addict",NA,"Journal of behavioral addictions","gambling"
"Cortical thickness abnormalities in trichotillomania: international multi-site analysis.","28664230",2018,"Jun","Cortical thickness abnormalities in trichotillomania: international multi-site ","10.1007/s11682-017-9746-3 [doi]","Trichotillomania is a prevalent but often hidden psychiatric condition, ","Chamberlain, Samuel R; Harries, Michael; Redden, Sarah A; Keuthen, Nancy J; Stein, Dan J; Lochner, Christine; Grant, Jon E","Department of Psychiatry, University of Cambridge, Box 189 Level E4, ; Cambridge and Peterborough NHS Foundation Trust, Cambridge, UK. src33@cam.ac.uk.; Department of Psychiatry & Behavioral Neuroscience, University of Chicago, ; Department of Psychiatry & Behavioral Neuroscience, University of Chicago, ; Department of Psychiatry, Massachusetts General Hospital and Harvard Medical ; MRC Unit on Anxiety & Stress Disorders, Department of Psychiatry, University of ; MRC Unit on Anxiety & Stress Disorders, Department of Psychiatry, University of ; Department of Psychiatry & Behavioral Neuroscience, University of Chicago, ","eng","Journal Article; Multicenter Study","Brain Imaging Behav","The research complied with relevant ethical standards including the Declaration ","Brain imaging and behavior","gambling"
"Pathologische Mediennutzung bei Kindern und Jugendlichen – eine Perspektive für die Praxis.","28677490",2017,"Jul","[Not Available].","10.1024/1661-8157/a002735 [doi]",NA,"Bilke-Hentsch, Oliver","1 Modellstation Somosa, Winterthur.","ger","Journal Article; Review","Praxis (Bern 1994)",NA,"Praxis","gambling"
"Risk Factors for Problem Gambling in California: Demographics, Comorbidities and Gambling Participation.","28685275",2018,"Jun","Risk Factors for Problem Gambling in California: Demographics, Comorbidities and ","10.1007/s10899-017-9703-5 [doi]","While population surveys have been carried out in numerous jurisdictions ","Volberg, Rachel A; McNamara, Lauren M; Carris, Kari L","School of Public Health and Health Sciences, University of Massachusetts Amherst, ; NORC at the University of Chicago, 55 East Monroe Street, Chicago, IL, 60603, ; NORC at the University of Chicago, 55 East Monroe Street, Chicago, IL, 60603, ","eng","Journal Article","J Gambl Stud",NA,"Journal of gambling studies","gambling"
"Alterations in functional brain networks associated with loss-chasing in gambling disorder and cocaine-use disorder.","28697386",2017,"Sep","Alterations in functional brain networks associated with loss-chasing in gambling ","S0376-8716(17)30299-5 [pii]; 10.1016/j.drugalcdep.2017.05.025 [doi]","BACKGROUND: Continued, persistent gambling to recover accumulating losses, or ","Worhunsky, Patrick D; Potenza, Marc N; Rogers, Robert D","Department of Psychiatry, Yale School of Medicine, New Haven, CT USA. Electronic ; Department of Psychiatry, Yale School of Medicine, New Haven, CT USA; Department ; School of Psychology, Adeilad Brigantia, Bangor, Wales, UK.","eng","Journal Article","Drug Alcohol Depend","Conflict of Interest No conflict declared.","Drug and alcohol dependence","gambling"
"Disordered Gambling Prevalence: Methodological Innovations in a General Danish Population Survey.","28707140",2018,"Mar","Disordered Gambling Prevalence: Methodological Innovations in a General Danish ","10.1007/s10899-017-9707-1 [doi]","We study Danish adult gambling behavior with an emphasis on discovering patterns ","Harrison, Glenn W; Jessen, Lasse J; Lau, Morten I; Ross, Don","Department of Risk Management and Insurance, Robinson College of Business, ; School of Economics, University of Cape Town, Cape Town, South Africa.; Center for the Economic Analysis of Risk, Robinson College of Business, Georgia ; Department of Economics, University of Kiel, Kiel, Germany.; Copenhagen Business School, Frederiksberg, Denmark.; Durham University Business School, Durham University, Durham, UK.; School of Sociology and Philosophy, University College Cork, Cork, Ireland. ; School of Economics, University of Cape Town, Cape Town, South Africa. ; Center for the Economic Analysis of Risk, Robinson College of Business, Georgia ","eng","Journal Article","J Gambl Stud",NA,"Journal of gambling studies","gambling"
"Gambling and negative life events in a nationally representative sample of UK men.","28715699",2017,"Dec","Gambling and negative life events in a nationally representative sample of UK ","S0306-4603(17)30247-2 [pii]; 10.1016/j.addbeh.2017.07.002 [doi]","INTRODUCTION: The links between gambling problems, trauma and life stressors are ","Roberts, Amanda; Sharman, Stephen; Coid, Jeremy; Murphy, Raegan; Bowden-Jones, Henrietta; Cowlishaw, Sean; Landon, Jason","School of Psychology, College of Social Science, University of Lincoln, Brayford ; School of Psychology, College of Social Science, University of Lincoln, Brayford ; Violence Prevention Research Unit, Wolfson Institute of Preventive Medicine, East ; School of Applied Psychology, University College Cork, UCC Enterprise Centre, ; Department of Medicine, Imperial College, London, South Kensington Campus, London ; Centre for Academic Primary Care (CAPC), School of Social & Community Medicine, ; Department of Psychology, Gambling and Addictions Research Centre Faculty of ","eng","Journal Article; Research Support, Non-U.S. Gov't","Addict Behav",NA,"Addictive behaviors","gambling"
"Opioid Antagonists for Pharmacological Treatment of Gambling Disorder: Are they Relevant?","28721822",2018,NA,"Opioid Antagonists for Pharmacological Treatment of Gambling Disorder: Are they ","10.2174/1570159X15666170718144058 [doi]","BACKGROUND: To date, no drugs have been approved for gambling disorder. Numerous ","Victorri-Vigneau, Caroline; Spiers, Andrew; Caillet, Pascal; Bruneau, Melanie; Ignace-Consortium; Challet-Bouju, Gaelle; Grall-Bronnec, Marie","Pharmacology Department, Nantes University Hospital, Nantes, France.; INSERM UMR1246 SPHERE Methods in Patients-centered outcomes and Health Research, ; Pharmacology Department, Nantes University Hospital, Nantes, France.; Pharmacology Department, Nantes University Hospital, Nantes, France.; Addictology and Psychiatry Department, Nantes University Hospital, Nantes, ; Service de Pharmacologie Clinique, Institut de Biologie, 9 quai moncousu, 44093 ; INSERM UMR1246 SPHERE Methods in Patients-centered outcomes and Health Research, ; Addictology and Psychiatry Department, Nantes University Hospital, Nantes, ; INSERM UMR1246 SPHERE Methods in Patients-centered outcomes and Health Research, ; Addictology and Psychiatry Department, Nantes University Hospital, Nantes, ","eng","Journal Article; Review; Systematic Review","Curr Neuropharmacol",NA,"Current neuropharmacology","gambling"
"Increased Striatal Dopamine Synthesis Capacity in Gambling Addiction.","28728675",2018,"Jun","Increased Striatal Dopamine Synthesis Capacity in Gambling Addiction.","S0006-3223(17)31672-4 [pii]; 10.1016/j.biopsych.2017.06.010 [doi]","BACKGROUND: The hypothesis that dopamine plays an important role in the ","van Holst, Ruth J; Sescousse, Guillaume; Janssen, Lieneke K; Janssen, Marcel; Berry, Anne S; Jagust, William J; Cools, Roshan","Donders Institute for Brain, Cognition and Behaviour, Radboud University, ; Donders Institute for Brain, Cognition and Behaviour, Radboud University, ; Donders Institute for Brain, Cognition and Behaviour, Radboud University, ; Department of Nuclear Medicine, Radboud University Medical Center, Nijmegen, The ; Helen Wills Neuroscience Institute, University of California, Berkeley, Berkeley, ; Helen Wills Neuroscience Institute, University of California, Berkeley, Berkeley, ; Donders Institute for Brain, Cognition and Behaviour, Radboud University, ","eng","Journal Article; Research Support, Non-U.S. Gov't","Biol Psychiatry","DISCLOSURES WJJ serves as a consultant to Genentech, Novartis, and Bioclinica. ","Biological psychiatry","gambling"
"The placebo effect and its clinical associations in gambling disorder.","28738096",2017,"Aug","The placebo effect and its clinical associations in gambling disorder.",NA,"BACKGROUND: Although gambling disorder is prevalent and functionally impairing, ","Grant, Jon E; Chamberlain, Samuel R","Department of Psychiatry and Behavioral Neuroscience, University of Chicago, ","eng","Journal Article; Meta-Analysis","Ann Clin Psychiatry",NA,"Annals of clinical psychiatry : official journal of the American Academy of ","gambling"
"Gambling Disorder and Concurrent Alcohol Use Disorder Treated With Naltrexone.","28742957",2017,"Jul","Gambling Disorder and Concurrent Alcohol Use Disorder Treated With Naltrexone.","16l02082 [pii]; 10.4088/PCC.16l02082 [doi]",NA,"Lee, June C; Takayesu, Alexandra G","jlee@dop.hawaii.edu.; Department of Psychiatry, John A. Burns School of Medicine, University of Hawaii, ; Department of Psychiatry, John A. Burns School of Medicine, University of Hawaii, ","eng","Case Reports; Letter","Prim Care Companion CNS Disord",NA,"The primary care companion for CNS disorders","gambling"
"Comparing undergraduate and community-recruited adult non-gamblers' motives for not gambling: Do they differ?","28746883",2018,"Jan","Comparing undergraduate and community-recruited adult non-gamblers' motives for ","S0306-4603(17)30280-0 [pii]; 10.1016/j.addbeh.2017.07.026 [doi]","The field of gambling studies has extensively focused on isolating risk factors ","Rash, Christina L; Kim, Hyoun S; Hodgins, David C; McGrath, Daniel S","Department of Psychology, University of Calgary, Calgary, Alberta, Canada. ; Department of Psychology, University of Calgary, Calgary, Alberta, Canada. ; Department of Psychology, University of Calgary, Calgary, Alberta, Canada. ; Department of Psychology, University of Calgary, Calgary, Alberta, Canada. ","eng","Comparative Study; Journal Article","Addict Behav",NA,"Addictive behaviors","gambling"
"LP-211, a selective 5-HT7 receptor agonist, increases novelty-preference and promotes risk-prone behavior in rats.","28752923",2017,"Dec","LP-211, a selective 5-HT(7) receptor agonist, increases novelty-preference and ","10.1002/syn.21995 [doi]","Gambling disorder is associated to an increased impulsivity, a high level of ","Beaudet, G; Paizanis, E; Zoratto, F; Lacivita, E; Leopoldo, M; Freret, T; Laviola, G; Boulouard, M; Adriani, W","INSERM U1075 COMETE UNICAEN, University of Caen Normandie, Caen, F-14000, France.; Istituto Superiore di Sanita, Center for Behavioral Sciences and Mental Health, ; INSERM U1075 COMETE UNICAEN, University of Caen Normandie, Caen, F-14000, France.; Istituto Superiore di Sanita, Center for Behavioral Sciences and Mental Health, ; Dipartimento di Farmacia-Scienze del Farmaco, Universita degli Studi di Bari ; Dipartimento di Farmacia-Scienze del Farmaco, Universita degli Studi di Bari ; BIOFORDRUG s.r.l, Spin-off by Universita degli Studi di Bari, Bari, Italy.; INSERM U1075 COMETE UNICAEN, University of Caen Normandie, Caen, F-14000, France.; Istituto Superiore di Sanita, Center for Behavioral Sciences and Mental Health, ; INSERM U1075 COMETE UNICAEN, University of Caen Normandie, Caen, F-14000, France.; Istituto Superiore di Sanita, Center for Behavioral Sciences and Mental Health, ","eng","Journal Article; Research Support, Non-U.S. Gov't","Synapse",NA,"Synapse (New York, N.Y.)","gambling"
"Recurrent Impulse Control Disorder Associated with Rasagiline Treatment of Parkinson's Disease.","28767029",2017,"Jul","Recurrent Impulse Control Disorder Associated with Rasagiline Treatment of ","10.1017/cjn.2016.307 [doi]",NA,"Levy, Ariel; Lang, Anthony E","Morton and Gloria Shulman Movement Disorders Clinic, and theEdmond J Safra ; Morton and Gloria Shulman Movement Disorders Clinic, and theEdmond J Safra ","eng","Case Reports; Letter","Can J Neurol Sci",NA,"The Canadian journal of neurological sciences. Le journal canadien des sciences ","gambling"
"Deep-Brain Stimulation of the Subthalamic Nucleus Selectively Decreases Risky Choice in Risk-Preferring Rats.","28791332",2017,"Jul-Aug","Deep-Brain Stimulation of the Subthalamic Nucleus Selectively Decreases Risky ","10.1523/ENEURO.0094-17.2017 [doi]; ENEURO.0094-17.2017","Deep brain stimulation of the subthalamic nucleus (STN-DBS) can improve the motor ","Adams, Wendy K; Vonder Haar, Cole; Tremblay, Melanie; Cocker, Paul J; Silveira, Mason M; Kaur, Sukhbir; Baunez, Christelle; Winstanley, Catharine A","Department of Psychology, Djavad Mowafaghian Centre for Brain Health, University ; Department of Psychology, Djavad Mowafaghian Centre for Brain Health, University ; Department of Psychology, Djavad Mowafaghian Centre for Brain Health, University ; Department of Psychology, Djavad Mowafaghian Centre for Brain Health, University ; Department of Psychology, Djavad Mowafaghian Centre for Brain Health, University ; Department of Psychology, Djavad Mowafaghian Centre for Brain Health, University ; Institut de Neurosciences de la Timone, UMR7289 Centre National de la Recherche ; Department of Psychology, Djavad Mowafaghian Centre for Brain Health, University ","eng","Journal Article; Research Support, Non-U.S. Gov't","eNeuro",NA,"eNeuro","gambling"
"Impulse Control and Related Disorders in Parkinson's Disease.","28802938",2017,NA,"Impulse Control and Related Disorders in Parkinson's Disease.","S0074-7742(17)30036-3 [pii]; 10.1016/bs.irn.2017.04.006 [doi]","Impulse control disorders (ICDs), such as compulsive gambling, buying, sexual, ","Weintraub, Daniel; Claassen, Daniel O","Perelman School of Medicine at the University of Pennsylvania, Philadelphia, PA, ; Vanderbilt University School of Medicine, Nashville, TN, United States.","eng","Journal Article; Review","Int Rev Neurobiol",NA,"International review of neurobiology","gambling"
"Already at the Table: Patterns of Play and Gambling Involvement Prior to Gambling Expansion.","28815350",2018,"Mar","Already at the Table: Patterns of Play and Gambling Involvement Prior to Gambling ","10.1007/s10899-017-9711-5 [doi]","During 2011, the Governor of Massachusetts signed a bill to allow casino gambling ","Nelson, Sarah E; LaPlante, Debi A; Gray, Heather M; Tom, Matthew A; Kleschinsky, John H; Shaffer, Howard J","Division on Addiction, Cambridge Health Alliance, 101 Station Landing, Suite ; Harvard Medical School, Boston, MA, USA. sarah_nelson@hms.harvard.edu.; Division on Addiction, Cambridge Health Alliance, 101 Station Landing, Suite ; Harvard Medical School, Boston, MA, USA.; Division on Addiction, Cambridge Health Alliance, 101 Station Landing, Suite ; Harvard Medical School, Boston, MA, USA.; Division on Addiction, Cambridge Health Alliance, 101 Station Landing, Suite ; Harvard Medical School, Boston, MA, USA.; Division on Addiction, Cambridge Health Alliance, 101 Station Landing, Suite ; Division on Addiction, Cambridge Health Alliance, 101 Station Landing, Suite ; Harvard Medical School, Boston, MA, USA.","eng","Journal Article","J Gambl Stud",NA,"Journal of gambling studies","gambling"
"Gaming disorder: Its delineation as an important condition for diagnosis, management, and prevention.","28816494",2017,"Sep","Gaming disorder: Its delineation as an important condition for diagnosis, ","10.1556/2006.6.2017.039 [doi]","Online gaming has greatly increased in popularity in recent years, and with this ","Saunders, John B; Hao, Wei; Long, Jiang; King, Daniel L; Mann, Karl; Fauth-Buhler, Mira; Rumpf, Hans-Jurgen; Bowden-Jones, Henrietta; Rahimi-Movaghar, Afarin; Chung, Thomas; Chan, Elda; Bahar, Norharlina; Achab, Sophia; Lee, Hae Kook; Potenza, Marc; Petry, Nancy; Spritzer, Daniel; Ambekar, Atul; Derevensky, Jeffrey; Griffiths, Mark D; Pontes, Halley M; Kuss, Daria; Higuchi, Susumu; Mihara, Satoko; Assangangkornchai, Sawitri; Sharma, Manoj; Kashef, Ahmad El; Ip, Patrick; Farrell, Michael; Scafato, Emanuele; Carragher, Natacha; Poznyak, Vladimir","1 Centre for Youth Substance Abuse Research, The University of Queensland , ; 2 Mental Health Institute of the Second Xiangya Hospital, Central South ; 2 Mental Health Institute of the Second Xiangya Hospital, Central South ; 3 School of Psychology, The University of Adelaide , Adelaide, SA, Australia.; 4 Central Institute of Mental Health, University of Heidelberg , Mannheim, ; 4 Central Institute of Mental Health, University of Heidelberg , Mannheim, ; 5 Department of Psychiatry and Psychotherapy, University of Lubeck , Lubeck, ; 6 Central North West London NHS Trust and Division of Brain Science, Imperial ; 7 Iranian National Center for Addiction Studies (INCAS), Tehran University of ; 8 Department of Health, Hong Kong SAR, China.; 9 Integrated Centre on Addiction Prevention and Treatment, Tung Wah Group of ; 10 Department of Psychiatry and Mental Health, Hospital Selayang , Selangor, ; 11 Mental Health and Psychiatry Department, University Hospitals of Geneva , ; 12 Department of Psychiatry, College of Medicine, The Catholic University of ; 13 Departments of Psychiatry and Neuroscience, Child Study Center, and The ; 14 Department of Psychiatry, University of Connecticut School of Medicine , ; 15 Study Group on Technological Addictions , Porto Alegre, Brazil.; 16 Department of Psychiatry, National Drug Dependence Treatment Centre, All India ; 17 Applied Child Psychology and Department of Psychiatry, McGill University , ; 18 International Gaming Research Unit, Psychology Department, Nottingham Trent ; 18 International Gaming Research Unit, Psychology Department, Nottingham Trent ; 18 International Gaming Research Unit, Psychology Department, Nottingham Trent ; 19 National Hospital Organization Kurihama Medical and Addiction Center , ; 19 National Hospital Organization Kurihama Medical and Addiction Center , ; 20 Epidemiology Unit and Centre for Alcohol Studies, Faculty of Medicine, Prince ; 21 National Institute of Mental Health and Neurosciences , Bengaluru, Karnataka, ; 22 National Rehabilitation Center , Abu Dhabi, United Arab Emirates.; 23 Department of Paediatrics & Adolescent Medicine, Li Ka Shing Faculty of ; 24 National Drug and Alcohol Research Centre, University of New South Wales , ; 25 National Observatory on Alcohol, National Institute of Health , Rome, Italy.; 26 Department of Mental Health and Substance Abuse, WHO Headquarters , Geneva, ; 26 Department of Mental Health and Substance Abuse, WHO Headquarters , Geneva, ","eng","Journal Article; Review","J Behav Addict",NA,"Journal of behavioral addictions","gambling"
"Addictive behaviors and healthcare renunciation for economic reasons in a French population-based sample.","28818639",2017,"Nov","Addictive behaviors and healthcare renunciation for economic reasons in a French ","S0955-3959(17)30206-2 [pii]; 10.1016/j.drugpo.2017.07.004 [doi]","BACKGROUND: Healthcare renunciation for economic reasons is a major health ","Baggio, Stephanie; Dupuis, Marc; Richard, Jean-Baptiste; Beck, Francois","Life Course and Social Inequality Research Centre, University of Lausanne, ; Institute of Psychology, University of Lausanne, Switzerland. Electronic address: ; Sante publique France, The French National Public Health Agency, France. ; Observatoire Francais des Drogues et des Toxicomanies (OFDT), The French ","eng","Journal Article","Int J Drug Policy",NA,"The International journal on drug policy","gambling"
"Caffeine's influence on gambling behavior and other types of impulsivity.","28822322",2018,"Jan","Caffeine's influence on gambling behavior and other types of impulsivity.","S0306-4603(17)30296-4 [pii]; 10.1016/j.addbeh.2017.08.007 [doi]","BACKGROUND: Young adulthood is a developmental period frequently associated with ","Grant, Jon E; Chamberlain, Samuel R","Department of Psychiatry & Behavioral Neuroscience, University of Chicago, ; Department of Psychiatry & Behavioral Neuroscience, University of Chicago, ","eng","Journal Article","Addict Behav","Declaration of interest: Dr. Grant has received research grants from NIMH, ","Addictive behaviors","gambling"
"Gambling Disorder and Minority Populations: Prevalence and Risk Factors.","28824833",2016,"Sep","Gambling Disorder and Minority Populations: Prevalence and Risk Factors.","10.1007/s40429-016-0108-9 [doi]","PURPOSE OF REVIEW: Previous studies demonstrate disparities in health and health ","Okuda, Mayumi; Liu, Weiwei; Cisewski, Jodi A; Segura, Luis; Storr, Carla L; Martins, Silvia S","Department of Psychiatry, Columbia University, 710 West 168th Street, 12 Floor, ; NORC at the University of Chicago, 4350 East-west Highway, Bethesda, MD 20814, ; Department of Epidemiology, Columbia University Mailman School of Public Health, ; Department of Epidemiology, Columbia University Mailman School of Public Health, ; Center for Health Outcomes Research, University of Maryland School of Nursing, ; Department of Epidemiology, Columbia University Mailman School of Public Health, ","eng","Journal Article","Curr Addict Rep","Luis Segura and Carla L. Storr declare that they have no conflict of interest.","Current addiction reports","gambling"
